dataset,rating_group,topic,annotator,rating
news,crowdwork_ratings,3,9,2
news,crowdwork_ratings,3,10,2
news,crowdwork_ratings,3,11,2
news,crowdwork_ratings,3,12,2
news,crowdwork_ratings,3,13,3
news,crowdwork_ratings,3,14,2
news,mturk_ratings_data,3,0,2
news,mturk_ratings_data,3,1,3
news,mturk_ratings_data,3,2,1
news,mturk_ratings_data,3,3,3
news,mturk_ratings_data,3,4,2
news,mturk_ratings_data,3,5,3
news,mturk_ratings_data,3,6,2
news,mturk_ratings_data,3,7,1
news,mturk_ratings_data,3,8,3
news,mturk_ratings_data,3,9,3
news,mturk_ratings_data,3,10,1
news,mturk_ratings_data,3,11,3
news,mturk_ratings_data,3,12,2
news,mturk_ratings_data,3,13,2
news,mturk_ratings_data,3,14,2
news,mturk_ratings_data,3,15,3
news,mturk_ratings_data,3,16,3
news,crowdwork_ratings,4,0,2
news,crowdwork_ratings,4,1,2
news,crowdwork_ratings,4,2,3
news,crowdwork_ratings,4,3,3
news,crowdwork_ratings,4,4,3
news,crowdwork_ratings,4,5,3
news,crowdwork_ratings,4,6,3
news,crowdwork_ratings,4,7,2
news,crowdwork_ratings,4,8,1
news,crowdwork_ratings,4,9,2
news,crowdwork_ratings,4,10,3
news,crowdwork_ratings,4,11,2
news,crowdwork_ratings,4,12,2
news,crowdwork_ratings,4,13,2
news,crowdwork_ratings,4,14,2
news,mturk_ratings_data,4,0,1
news,mturk_ratings_data,4,1,3
news,mturk_ratings_data,4,2,2
news,mturk_ratings_data,4,3,2
news,mturk_ratings_data,4,4,3
news,mturk_ratings_data,4,5,2
news,mturk_ratings_data,4,6,3
news,mturk_ratings_data,4,7,2
news,mturk_ratings_data,4,8,3
news,mturk_ratings_data,4,9,3
news,mturk_ratings_data,4,10,3
news,mturk_ratings_data,4,11,2
news,mturk_ratings_data,4,12,2
news,mturk_ratings_data,4,13,2
news,mturk_ratings_data,4,14,2
news,mturk_ratings_data,4,15,2
news,mturk_ratings_data,4,16,2
news,crowdwork_ratings,5,0,1
news,crowdwork_ratings,5,1,2
news,crowdwork_ratings,5,2,2
news,crowdwork_ratings,5,3,2
news,crowdwork_ratings,5,4,2
news,crowdwork_ratings,5,5,2
news,crowdwork_ratings,5,6,1
news,crowdwork_ratings,5,7,2
news,crowdwork_ratings,5,8,3
news,crowdwork_ratings,5,9,2
news,crowdwork_ratings,5,10,2
news,crowdwork_ratings,5,11,2
news,crowdwork_ratings,5,12,1
news,crowdwork_ratings,5,13,2
news,crowdwork_ratings,5,14,2
news,mturk_ratings_data,5,0,2
news,mturk_ratings_data,5,1,2
news,mturk_ratings_data,5,2,2
news,mturk_ratings_data,5,3,2
news,mturk_ratings_data,5,4,2
news,mturk_ratings_data,5,5,3
news,mturk_ratings_data,5,6,1
news,mturk_ratings_data,5,7,3
news,mturk_ratings_data,5,8,3
news,mturk_ratings_data,5,9,2
news,mturk_ratings_data,5,10,2
news,mturk_ratings_data,5,11,1
news,mturk_ratings_data,5,12,3
news,mturk_ratings_data,5,13,1
news,mturk_ratings_data,5,14,2
news,mturk_ratings_data,5,15,3
news,mturk_ratings_data,5,16,2
news,crowdwork_ratings,6,0,3
news,crowdwork_ratings,6,1,3
news,crowdwork_ratings,6,2,2
news,crowdwork_ratings,6,3,3
news,crowdwork_ratings,6,4,2
news,crowdwork_ratings,6,5,3
news,crowdwork_ratings,6,6,3
news,crowdwork_ratings,6,7,3
news,crowdwork_ratings,6,8,3
news,crowdwork_ratings,6,9,3
news,crowdwork_ratings,6,10,3
news,crowdwork_ratings,6,11,3
news,crowdwork_ratings,6,12,3
news,crowdwork_ratings,6,13,3
news,crowdwork_ratings,6,14,3
news,mturk_ratings_data,6,0,3
news,mturk_ratings_data,6,1,2
news,mturk_ratings_data,6,2,3
news,mturk_ratings_data,6,3,3
news,mturk_ratings_data,6,4,3
news,mturk_ratings_data,6,5,3
news,mturk_ratings_data,6,6,3
news,mturk_ratings_data,6,7,3
news,mturk_ratings_data,6,8,2
news,mturk_ratings_data,6,9,3
news,mturk_ratings_data,6,10,3
news,mturk_ratings_data,6,11,3
news,mturk_ratings_data,6,12,3
news,mturk_ratings_data,6,13,3
news,mturk_ratings_data,6,14,3
news,mturk_ratings_data,6,15,3
news,crowdwork_ratings,7,0,3
news,crowdwork_ratings,7,1,3
news,crowdwork_ratings,7,2,3
news,crowdwork_ratings,7,3,3
news,crowdwork_ratings,7,4,3
news,crowdwork_ratings,7,5,3
news,crowdwork_ratings,7,6,3
news,crowdwork_ratings,7,7,3
news,crowdwork_ratings,7,8,3
news,crowdwork_ratings,7,9,3
news,crowdwork_ratings,7,10,2
news,crowdwork_ratings,7,11,2
news,crowdwork_ratings,7,12,2
news,crowdwork_ratings,7,13,3
news,crowdwork_ratings,7,14,3
news,mturk_ratings_data,7,0,3
news,mturk_ratings_data,7,1,2
news,mturk_ratings_data,7,2,2
news,mturk_ratings_data,7,3,3
news,mturk_ratings_data,7,4,1
news,mturk_ratings_data,7,5,3
news,mturk_ratings_data,7,6,3
news,mturk_ratings_data,7,7,1
news,mturk_ratings_data,7,8,3
news,mturk_ratings_data,7,9,3
news,mturk_ratings_data,7,10,3
news,mturk_ratings_data,7,11,3
news,mturk_ratings_data,7,12,3
news,mturk_ratings_data,7,13,3
news,mturk_ratings_data,7,14,2
news,mturk_ratings_data,7,15,2
news,mturk_ratings_data,7,16,3
news,crowdwork_ratings,8,0,1
news,crowdwork_ratings,8,1,3
news,crowdwork_ratings,8,2,2
news,crowdwork_ratings,8,3,2
news,crowdwork_ratings,8,4,2
news,crowdwork_ratings,8,5,3
news,crowdwork_ratings,8,6,1
news,crowdwork_ratings,8,7,1
news,crowdwork_ratings,8,8,3
news,crowdwork_ratings,8,9,2
news,crowdwork_ratings,8,10,2
news,crowdwork_ratings,8,11,2
news,crowdwork_ratings,8,12,3
news,crowdwork_ratings,8,13,2
news,crowdwork_ratings,8,14,2
news,mturk_ratings_data,8,0,2
news,mturk_ratings_data,8,1,2
news,mturk_ratings_data,8,2,2
news,mturk_ratings_data,8,3,3
news,mturk_ratings_data,8,4,2
news,mturk_ratings_data,8,5,3
news,mturk_ratings_data,8,6,3
news,mturk_ratings_data,8,7,2
news,mturk_ratings_data,8,8,1
news,mturk_ratings_data,8,9,2
news,mturk_ratings_data,8,10,2
news,mturk_ratings_data,8,11,3
news,mturk_ratings_data,8,12,3
news,mturk_ratings_data,8,13,2
news,mturk_ratings_data,8,14,3
news,mturk_ratings_data,8,15,3
news,crowdwork_ratings,9,0,3
news,crowdwork_ratings,9,1,3
news,crowdwork_ratings,9,2,3
news,crowdwork_ratings,9,3,3
news,crowdwork_ratings,9,4,3
news,crowdwork_ratings,9,5,3
news,crowdwork_ratings,9,6,3
news,crowdwork_ratings,9,7,3
news,crowdwork_ratings,9,8,3
news,crowdwork_ratings,9,9,3
news,crowdwork_ratings,9,10,3
news,crowdwork_ratings,9,11,2
news,crowdwork_ratings,9,12,2
news,crowdwork_ratings,9,13,3
news,crowdwork_ratings,9,14,2
news,mturk_ratings_data,9,0,1
news,mturk_ratings_data,9,1,3
news,mturk_ratings_data,9,2,1
news,mturk_ratings_data,9,3,2
news,mturk_ratings_data,9,4,2
news,mturk_ratings_data,9,5,3
news,mturk_ratings_data,9,6,2
news,mturk_ratings_data,9,7,3
news,mturk_ratings_data,9,8,3
news,mturk_ratings_data,9,9,3
news,mturk_ratings_data,9,10,2
news,mturk_ratings_data,9,11,3
news,mturk_ratings_data,9,12,3
news,mturk_ratings_data,9,13,3
news,mturk_ratings_data,9,14,2
news,mturk_ratings_data,9,15,1
news,mturk_ratings_data,9,16,3
news,crowdwork_ratings,10,0,1
news,crowdwork_ratings,10,1,3
news,crowdwork_ratings,10,2,2
news,crowdwork_ratings,10,3,3
news,crowdwork_ratings,10,4,3
news,crowdwork_ratings,10,5,3
news,crowdwork_ratings,10,6,2
news,crowdwork_ratings,10,7,3
news,crowdwork_ratings,10,8,3
news,crowdwork_ratings,10,9,3
news,crowdwork_ratings,10,10,3
news,crowdwork_ratings,10,11,3
news,crowdwork_ratings,10,12,2
news,crowdwork_ratings,10,13,3
news,crowdwork_ratings,10,14,3
news,mturk_ratings_data,10,0,1
news,mturk_ratings_data,10,1,2
news,mturk_ratings_data,10,2,2
news,mturk_ratings_data,10,3,3
news,mturk_ratings_data,10,4,2
news,mturk_ratings_data,10,5,3
news,mturk_ratings_data,10,6,2
news,mturk_ratings_data,10,7,2
news,mturk_ratings_data,10,8,3
news,mturk_ratings_data,10,9,3
news,mturk_ratings_data,10,10,3
news,mturk_ratings_data,10,11,3
news,mturk_ratings_data,10,12,3
news,mturk_ratings_data,10,13,3
news,mturk_ratings_data,10,14,2
news,mturk_ratings_data,10,15,1
news,mturk_ratings_data,10,16,3
news,crowdwork_ratings,11,0,2
news,crowdwork_ratings,11,1,2
news,crowdwork_ratings,11,2,2
news,crowdwork_ratings,11,3,2
news,crowdwork_ratings,11,4,2
news,crowdwork_ratings,11,5,2
news,crowdwork_ratings,11,6,2
news,crowdwork_ratings,11,7,3
news,crowdwork_ratings,11,8,2
news,crowdwork_ratings,11,9,3
news,crowdwork_ratings,11,10,2
news,crowdwork_ratings,11,11,3
news,crowdwork_ratings,11,12,2
news,crowdwork_ratings,11,13,3
news,crowdwork_ratings,11,14,3
news,mturk_ratings_data,11,0,2
news,mturk_ratings_data,11,1,3
news,mturk_ratings_data,11,2,2
news,mturk_ratings_data,11,3,3
news,mturk_ratings_data,11,4,2
news,mturk_ratings_data,11,5,3
news,mturk_ratings_data,11,6,2
news,mturk_ratings_data,11,7,3
news,mturk_ratings_data,11,8,3
news,mturk_ratings_data,11,9,3
news,mturk_ratings_data,11,10,3
news,mturk_ratings_data,11,11,2
news,mturk_ratings_data,11,12,2
news,mturk_ratings_data,11,13,3
news,mturk_ratings_data,11,14,2
news,mturk_ratings_data,11,15,3
news,mturk_ratings_data,11,16,2
news,crowdwork_ratings,12,0,1
news,crowdwork_ratings,12,1,3
news,crowdwork_ratings,12,2,2
news,crowdwork_ratings,12,3,3
news,crowdwork_ratings,12,4,3
news,crowdwork_ratings,12,5,3
news,crowdwork_ratings,12,6,2
news,crowdwork_ratings,12,7,3
news,crowdwork_ratings,12,8,3
news,crowdwork_ratings,12,9,2
news,crowdwork_ratings,12,10,3
news,crowdwork_ratings,12,11,3
news,crowdwork_ratings,12,12,3
news,crowdwork_ratings,12,13,3
news,crowdwork_ratings,12,14,3
news,mturk_ratings_data,12,0,3
news,mturk_ratings_data,12,1,2
news,mturk_ratings_data,12,2,2
news,mturk_ratings_data,12,3,2
news,mturk_ratings_data,12,4,2
news,mturk_ratings_data,12,5,3
news,mturk_ratings_data,12,6,2
news,mturk_ratings_data,12,7,3
news,mturk_ratings_data,12,8,3
news,mturk_ratings_data,12,9,3
news,mturk_ratings_data,12,10,3
news,mturk_ratings_data,12,11,3
news,mturk_ratings_data,12,12,3
news,mturk_ratings_data,12,13,2
news,mturk_ratings_data,12,14,2
news,mturk_ratings_data,12,15,2
news,mturk_ratings_data,12,16,3
news,crowdwork_ratings,13,0,2
news,crowdwork_ratings,13,1,3
news,crowdwork_ratings,13,2,2
news,crowdwork_ratings,13,3,2
news,crowdwork_ratings,13,4,3
news,crowdwork_ratings,13,5,2
news,crowdwork_ratings,13,6,2
news,crowdwork_ratings,13,7,3
news,crowdwork_ratings,13,8,3
news,crowdwork_ratings,13,9,3
news,crowdwork_ratings,13,10,3
news,crowdwork_ratings,13,11,3
news,crowdwork_ratings,13,12,2
news,crowdwork_ratings,13,13,3
news,crowdwork_ratings,13,14,3
news,mturk_ratings_data,13,0,2
news,mturk_ratings_data,13,1,2
news,mturk_ratings_data,13,2,2
news,mturk_ratings_data,13,3,3
news,mturk_ratings_data,13,4,2
news,mturk_ratings_data,13,5,1
news,mturk_ratings_data,13,6,3
news,mturk_ratings_data,13,7,3
news,mturk_ratings_data,13,8,3
news,mturk_ratings_data,13,9,3
news,mturk_ratings_data,13,10,3
news,mturk_ratings_data,13,11,2
news,mturk_ratings_data,13,12,2
news,mturk_ratings_data,13,13,3
news,mturk_ratings_data,13,14,3
news,mturk_ratings_data,13,15,2
news,crowdwork_ratings,14,0,2
news,crowdwork_ratings,14,1,1
news,crowdwork_ratings,14,2,1
news,crowdwork_ratings,14,3,1
news,crowdwork_ratings,14,4,2
news,crowdwork_ratings,14,5,1
news,crowdwork_ratings,14,6,1
news,crowdwork_ratings,14,7,1
news,crowdwork_ratings,14,8,2
news,crowdwork_ratings,14,9,1
news,crowdwork_ratings,14,10,3
news,crowdwork_ratings,14,11,1
news,crowdwork_ratings,14,12,1
news,crowdwork_ratings,14,13,2
news,crowdwork_ratings,14,14,2
news,mturk_ratings_data,14,0,2
news,mturk_ratings_data,14,1,2
news,mturk_ratings_data,14,2,2
news,mturk_ratings_data,14,3,2
news,mturk_ratings_data,14,4,3
news,mturk_ratings_data,14,5,2
news,mturk_ratings_data,14,6,1
news,mturk_ratings_data,14,7,3
news,mturk_ratings_data,14,8,1
news,mturk_ratings_data,14,9,2
news,mturk_ratings_data,14,10,2
news,mturk_ratings_data,14,11,2
news,mturk_ratings_data,14,12,2
news,mturk_ratings_data,14,13,2
news,mturk_ratings_data,14,14,3
news,mturk_ratings_data,14,15,3
news,crowdwork_ratings,15,0,1
news,crowdwork_ratings,15,1,2
news,crowdwork_ratings,15,2,1
news,crowdwork_ratings,15,3,2
news,crowdwork_ratings,15,4,3
news,crowdwork_ratings,15,5,2
news,crowdwork_ratings,15,6,2
news,crowdwork_ratings,15,7,2
news,crowdwork_ratings,15,8,2
news,crowdwork_ratings,15,9,2
news,crowdwork_ratings,15,10,3
news,crowdwork_ratings,15,11,3
news,crowdwork_ratings,15,12,2
news,crowdwork_ratings,15,13,3
news,crowdwork_ratings,15,14,3
news,mturk_ratings_data,15,0,3
news,mturk_ratings_data,15,1,2
news,mturk_ratings_data,15,2,2
news,mturk_ratings_data,15,3,3
news,mturk_ratings_data,15,4,2
news,mturk_ratings_data,15,5,2
news,mturk_ratings_data,15,6,3
news,mturk_ratings_data,15,7,1
news,mturk_ratings_data,15,8,3
news,mturk_ratings_data,15,9,3
news,mturk_ratings_data,15,10,1
news,mturk_ratings_data,15,11,2
news,mturk_ratings_data,15,12,1
news,mturk_ratings_data,15,13,2
news,mturk_ratings_data,15,14,1
news,mturk_ratings_data,15,15,2
news,mturk_ratings_data,15,16,2
news,crowdwork_ratings,16,0,2
news,crowdwork_ratings,16,1,2
news,crowdwork_ratings,16,2,2
news,crowdwork_ratings,16,3,2
news,crowdwork_ratings,16,4,2
news,crowdwork_ratings,16,5,2
news,crowdwork_ratings,16,6,1
news,crowdwork_ratings,16,7,2
news,crowdwork_ratings,16,8,3
news,crowdwork_ratings,16,9,3
news,crowdwork_ratings,16,10,3
news,crowdwork_ratings,16,11,3
news,crowdwork_ratings,16,12,2
news,crowdwork_ratings,16,13,3
news,crowdwork_ratings,16,14,3
news,mturk_ratings_data,16,0,3
news,mturk_ratings_data,16,1,2
news,mturk_ratings_data,16,2,3
news,mturk_ratings_data,16,3,2
news,mturk_ratings_data,16,4,1
news,mturk_ratings_data,16,5,2
news,mturk_ratings_data,16,6,3
news,mturk_ratings_data,16,7,3
news,mturk_ratings_data,16,8,1
news,mturk_ratings_data,16,9,3
news,mturk_ratings_data,16,10,3
news,mturk_ratings_data,16,11,3
news,mturk_ratings_data,16,12,3
news,mturk_ratings_data,16,13,3
news,mturk_ratings_data,16,14,3
news,mturk_ratings_data,16,15,3
news,crowdwork_ratings,17,0,1
news,crowdwork_ratings,17,1,1
news,crowdwork_ratings,17,2,1
news,crowdwork_ratings,17,3,2
news,crowdwork_ratings,17,4,2
news,crowdwork_ratings,17,5,1
news,crowdwork_ratings,17,6,2
news,crowdwork_ratings,17,7,2
news,crowdwork_ratings,17,8,2
news,crowdwork_ratings,17,9,1
news,crowdwork_ratings,17,10,3
news,crowdwork_ratings,17,11,1
news,crowdwork_ratings,17,12,1
news,crowdwork_ratings,17,13,2
news,crowdwork_ratings,17,14,3
news,mturk_ratings_data,17,0,2
news,mturk_ratings_data,17,1,2
news,mturk_ratings_data,17,2,1
news,mturk_ratings_data,17,3,1
news,mturk_ratings_data,17,4,1
news,mturk_ratings_data,17,5,1
news,mturk_ratings_data,17,6,2
news,mturk_ratings_data,17,7,1
news,mturk_ratings_data,17,8,2
news,mturk_ratings_data,17,9,1
news,mturk_ratings_data,17,10,1
news,mturk_ratings_data,17,11,1
news,mturk_ratings_data,17,12,1
news,mturk_ratings_data,17,13,1
news,mturk_ratings_data,17,14,2
news,mturk_ratings_data,17,15,3
news,crowdwork_ratings,18,0,3
news,crowdwork_ratings,18,1,2
news,crowdwork_ratings,18,2,1
news,crowdwork_ratings,18,3,2
news,crowdwork_ratings,18,4,2
news,crowdwork_ratings,18,5,2
news,crowdwork_ratings,18,6,3
news,crowdwork_ratings,18,7,1
news,crowdwork_ratings,18,8,3
news,crowdwork_ratings,18,9,2
news,crowdwork_ratings,18,10,2
news,crowdwork_ratings,18,11,2
news,crowdwork_ratings,18,12,2
news,crowdwork_ratings,18,13,2
news,crowdwork_ratings,18,14,2
news,mturk_ratings_data,18,0,2
news,mturk_ratings_data,18,1,2
news,mturk_ratings_data,18,2,3
news,mturk_ratings_data,18,3,3
news,mturk_ratings_data,18,4,1
news,mturk_ratings_data,18,5,3
news,mturk_ratings_data,18,6,2
news,mturk_ratings_data,18,7,2
news,mturk_ratings_data,18,8,2
news,mturk_ratings_data,18,9,2
news,mturk_ratings_data,18,10,1
news,mturk_ratings_data,18,11,2
news,mturk_ratings_data,18,12,2
news,mturk_ratings_data,18,13,2
news,mturk_ratings_data,18,14,1
news,mturk_ratings_data,18,15,3
news,mturk_ratings_data,18,16,3
news,crowdwork_ratings,19,0,2
news,crowdwork_ratings,19,1,2
news,crowdwork_ratings,19,2,2
news,crowdwork_ratings,19,3,1
news,crowdwork_ratings,19,4,2
news,crowdwork_ratings,19,5,1
news,crowdwork_ratings,19,6,2
news,crowdwork_ratings,19,7,1
news,crowdwork_ratings,19,8,2
news,crowdwork_ratings,19,9,1
news,crowdwork_ratings,19,10,2
news,crowdwork_ratings,19,11,1
news,crowdwork_ratings,19,12,1
news,crowdwork_ratings,19,13,1
news,crowdwork_ratings,19,14,2
news,mturk_ratings_data,19,0,2
news,mturk_ratings_data,19,1,2
news,mturk_ratings_data,19,2,1
news,mturk_ratings_data,19,3,1
news,mturk_ratings_data,19,4,3
news,mturk_ratings_data,19,5,1
news,mturk_ratings_data,19,6,2
news,mturk_ratings_data,19,7,2
news,mturk_ratings_data,19,8,1
news,mturk_ratings_data,19,9,2
news,mturk_ratings_data,19,10,2
news,mturk_ratings_data,19,11,1
news,mturk_ratings_data,19,12,1
news,mturk_ratings_data,19,13,1
news,mturk_ratings_data,19,14,2
news,mturk_ratings_data,19,15,3
leg,crowdwork_ratings,0,0,1
leg,crowdwork_ratings,0,1,2
leg,crowdwork_ratings,0,2,2
leg,crowdwork_ratings,0,3,3
leg,crowdwork_ratings,0,4,1
leg,crowdwork_ratings,0,5,3
leg,crowdwork_ratings,0,6,1
leg,crowdwork_ratings,0,7,1
leg,crowdwork_ratings,0,8,3
leg,crowdwork_ratings,0,9,2
leg,crowdwork_ratings,0,10,2
leg,crowdwork_ratings,0,11,2
leg,crowdwork_ratings,0,12,2
leg,crowdwork_ratings,0,13,3
leg,crowdwork_ratings,0,14,1
leg,mturk_ratings_data,0,0,2
leg,mturk_ratings_data,0,1,2
leg,mturk_ratings_data,0,2,2
leg,mturk_ratings_data,0,3,1
leg,mturk_ratings_data,0,4,1
leg,mturk_ratings_data,0,5,1
leg,mturk_ratings_data,0,6,2
leg,mturk_ratings_data,0,7,2
leg,mturk_ratings_data,0,8,2
leg,mturk_ratings_data,0,9,2
leg,mturk_ratings_data,0,10,1
leg,mturk_ratings_data,0,11,1
leg,mturk_ratings_data,0,12,2
leg,mturk_ratings_data,0,13,2
leg,mturk_ratings_data,0,14,2
leg,mturk_ratings_data,0,15,3
leg,crowdwork_ratings,1,0,1
leg,crowdwork_ratings,1,1,2
leg,crowdwork_ratings,1,2,2
leg,crowdwork_ratings,1,3,3
leg,crowdwork_ratings,1,4,2
leg,crowdwork_ratings,1,5,2
leg,crowdwork_ratings,1,6,2
leg,crowdwork_ratings,1,7,2
leg,crowdwork_ratings,1,8,3
leg,crowdwork_ratings,1,9,3
leg,crowdwork_ratings,1,10,2
leg,crowdwork_ratings,1,11,2
leg,crowdwork_ratings,1,12,1
leg,crowdwork_ratings,1,13,2
leg,crowdwork_ratings,1,14,1
leg,mturk_ratings_data,1,0,2
leg,mturk_ratings_data,1,1,2
leg,mturk_ratings_data,1,2,2
leg,mturk_ratings_data,1,3,2
leg,mturk_ratings_data,1,4,2
leg,mturk_ratings_data,1,5,3
leg,mturk_ratings_data,1,6,2
leg,mturk_ratings_data,1,7,3
leg,mturk_ratings_data,1,8,1
leg,mturk_ratings_data,1,9,3
leg,mturk_ratings_data,1,10,3
leg,mturk_ratings_data,1,11,1
leg,mturk_ratings_data,1,12,1
leg,mturk_ratings_data,1,13,3
leg,mturk_ratings_data,1,14,3
leg,mturk_ratings_data,1,15,2
leg,crowdwork_ratings,2,0,2
leg,crowdwork_ratings,2,1,1
leg,crowdwork_ratings,2,2,2
leg,crowdwork_ratings,2,3,3
leg,crowdwork_ratings,2,4,3
leg,crowdwork_ratings,2,5,3
leg,crowdwork_ratings,2,6,3
leg,crowdwork_ratings,2,7,3
leg,crowdwork_ratings,2,8,3
leg,crowdwork_ratings,2,9,3
leg,crowdwork_ratings,2,10,3
leg,crowdwork_ratings,2,11,3
leg,crowdwork_ratings,2,12,2
leg,crowdwork_ratings,2,13,3
leg,crowdwork_ratings,2,14,3
leg,mturk_ratings_data,2,0,3
leg,mturk_ratings_data,2,1,3
leg,mturk_ratings_data,2,2,1
leg,mturk_ratings_data,2,3,3
leg,mturk_ratings_data,2,4,2
leg,mturk_ratings_data,2,5,3
leg,mturk_ratings_data,2,6,2
leg,mturk_ratings_data,2,7,3
leg,mturk_ratings_data,2,8,2
leg,mturk_ratings_data,2,9,3
leg,mturk_ratings_data,2,10,1
leg,mturk_ratings_data,2,11,3
leg,mturk_ratings_data,2,12,3
leg,mturk_ratings_data,2,13,2
leg,mturk_ratings_data,2,14,2
leg,mturk_ratings_data,2,15,3
leg,mturk_ratings_data,2,16,3
leg,crowdwork_ratings,3,0,2
leg,crowdwork_ratings,3,1,1
leg,crowdwork_ratings,3,2,2
leg,crowdwork_ratings,3,3,3
leg,crowdwork_ratings,3,4,2
leg,crowdwork_ratings,3,5,3
leg,crowdwork_ratings,3,6,2
leg,crowdwork_ratings,3,7,1
leg,crowdwork_ratings,3,8,3
leg,crowdwork_ratings,3,9,3
leg,crowdwork_ratings,3,10,2
leg,crowdwork_ratings,3,11,2
leg,crowdwork_ratings,3,12,1
leg,crowdwork_ratings,3,13,2
leg,crowdwork_ratings,3,14,1
leg,mturk_ratings_data,3,0,2
leg,mturk_ratings_data,3,1,2
leg,mturk_ratings_data,3,2,2
leg,mturk_ratings_data,3,3,2
leg,mturk_ratings_data,3,4,2
leg,mturk_ratings_data,3,5,3
leg,mturk_ratings_data,3,6,2
leg,mturk_ratings_data,3,7,2
leg,mturk_ratings_data,3,8,2
leg,mturk_ratings_data,3,9,1
leg,mturk_ratings_data,3,10,2
leg,mturk_ratings_data,3,11,1
leg,mturk_ratings_data,3,12,2
leg,mturk_ratings_data,3,13,2
leg,mturk_ratings_data,3,14,1
leg,mturk_ratings_data,3,15,1
leg,mturk_ratings_data,3,16,3
leg,crowdwork_ratings,4,0,3
leg,crowdwork_ratings,4,1,3
leg,crowdwork_ratings,4,2,3
leg,crowdwork_ratings,4,3,3
leg,crowdwork_ratings,4,4,3
leg,crowdwork_ratings,4,5,3
leg,crowdwork_ratings,4,6,3
leg,crowdwork_ratings,4,7,3
leg,crowdwork_ratings,4,8,3
leg,crowdwork_ratings,4,9,3
leg,crowdwork_ratings,4,10,3
